,Variable Name,Variable Description,Response Codes,Response Labels,Electricity,Natural Gas,Propane,Fuel Oil,Kerosene
10,CONVERSION,Converted 2-4 unit apartment building,"[1, 2, -2]","['Built as an apartment building', 'Converted into an apartment building', 'Not Applicable']",,,,,
11,ORIG1FAM,Converted 2-4 unit apartment building was originally a single-family house,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
12,LOOKLIKE,Converted 2-4 unit apartment building more like single family house or apartment building,"[1, 2, -2]","['More like a single-family house', 'More like an apartment building', 'Not Applicable']",,,,,
13,WALLTYPE,Major outside wall material,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","['Brick', 'Wood', 'Siding (Aluminum, Vinyl, Steel)', 'Stucco', 'Composition (Shingle)', 'Stone', 'Concrete/Concrete Block', 'Glass', 'Other']",,,,,
14,ROOFTYPE,Major roofing material,"[1, 2, 3, 4, 5, 6, 7, 8, -2]","['Ceramic or Clay Tiles', 'Wood Shingles/Shakes', 'Metal', 'Slate or Synthetic Slate', 'Composition Shingles', 'Asphalt', 'Concrete Tiles', 'Other', 'Not Applicable']",,,,,
15,STUDIO,Studio apartment,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
16,STORIES,Number of stories in a single-family home,"[10, 20, 31, 32, 40, 50, -2]","['One story', 'Two stories', 'Three stories', 'Four or more stories', 'Split-level', 'Other type', 'Not Applicable']",,,,,
17,TYPEHUQ4,Addition to a mobile home,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
18,CELLAR,Basement in housing unit,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
19,CRAWL,Housing unit over a crawl space,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
20,CONCRETE,Housing unit over a concrete slab,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
21,BASEFIN,Finished basement,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
22,BASEHEAT,Heating used in basement,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
23,BASEHT2,All or partial basement heating,"[1, 2, -2]","['All', 'Partial', 'Not Applicable']",,,,,
24,PCTBSTHT,Portion of the basement which is heated,"[1, 2, 3, 4, 5, -2]","['Very Little (1-4%)', 'Some (5-33%)', 'About Half (34-66%)', 'About Three-Quarters (67-95%)', 'Most of It (96 - 99%)', 'Not Applicable']",,,,,
25,BASECOOL,Cooling used in basement,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
26,BASECL2,All or partial basement cooling,"[1, 2, -2]","['All', 'Partial', 'Not Applicable']",,,,,
27,PCTBSTCL,Portion of the basement which is cooled,"[1, 2, 3, 4, 5, -2]","['Very Little (1-4%)', 'Some (5-33%)', 'About Half (34-66%)', 'About Three-Quarters (67-95%)', 'Most of It (96 - 99%)', 'Not Applicable']",,,,,
28,BASEUSE,Portion of basement exclusively used by housing unit in apartment building with 2-4 units,"[0, 1, 2, -2]","['None', 'All', 'Part', 'Not Applicable']",,,,,
29,ATTIC,Attic in housing unit,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
30,ATTICFIN,Finished attic,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
31,ATTCHEAT,Heating used in attic,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
32,ATTCHT2,All or partial attic heating,"[1, 2, -2]","['All', 'Partial', 'Not Applicable']",,,,,
33,PCTATTHT,Portion of the attic which is heated,"[1, 2, 3, 4, 5, -2]","['Very Little (1-4%)', 'Some (5-33%)', 'About Half (34-66%)', 'About Three-Quarters (67-95%)', 'Most of It (96 - 99%)', 'Not Applicable']",,,,,
34,ATTCCOOL,Cooling used in attic,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
35,ATTCCL2,All or partial attic cooling,"[1, 2, -2]","['All', 'Partial', 'Not Applicable']",,,,,
36,PCTATTCL,Portion of the attic which is cooled,"[1, 2, 3, 4, 5, -2]","['Very Little (1-4%)', 'Some (5-33%)', 'About Half (34-66%)', 'About Three-Quarters (67-95%)', 'Most of It (96 - 99%)', 'Not Applicable']",,,,,
37,ATTICUSE,Portion of attic exclusively used by housing unit in apartment building with 2-4 units,"[0, 1, 2, -2]","['None', 'All', 'Part', 'Not Applicable']",,,,,
38,PRKGPLC1,Attached garage,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
39,SIZEOFGARAGE,Size of attached garage,"[1, 2, 3, -2]","['One-car garage', 'Two-car garage', 'Three-or-more-car garage', 'Not Applicable']",,,,,
40,GARGLOC,Location of attached garage,"[1, 2, 3, -2]","['Attached to the basement', 'Attached to the first floor', 'Attached to some other floor', 'Not Applicable']",,,,,
41,GARGHEAT,Heating used in attached garage,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
42,GARGCOOL,Cooling used in attached garage,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
43,PRKGPLC2,Detached garage or carport,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
44,SIZEOFDETACH,Size of detached garage or carport,"[1, 2, 3, 4, -2]","['One-car garage', 'Two-car garage', 'Three-or-more-car garage', 'Carport', 'Not Applicable']",,,,,
45,OUTLET,Outlet within 20 feet of vehicle parking,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
46,STOVENFUEL,Fuel used by most-used stove,"[1, 2, 5, 21, -2]","['Natural Gas', 'Propane/LPG', 'Electricity', 'Other Fuel', 'Not Applicable']",OTH_B,OTH_B,OTH_B,,
47,STOVEFUEL,Fuel used by most-used separate cooktop,"[1, 2, 5, 21, -2]","['Natural Gas', 'Propane/LPG', 'Electricity', 'Other Fuel', 'Not Applicable']",OTH_B,OTH_B,OTH_B,,
48,OVENFUEL,Fuel used by separate oven,"[1, 2, 5, 21, -2]","['Natural Gas', 'Propane/LPG', 'Electricity', 'Other Fuel', 'Not Applicable']",OTH_B,OTH_B,OTH_B,,
49,OVENUSE,Frequency of oven use,"[0, 1, 2, 3, 4, 5, 6, -2]","['Not used (if volunteered)', 'Three or more times a day', 'Two times a day', 'Once a day', 'A few times a week', 'About once a week', 'Less than once a week', 'Not Applicable']",OTH_B,OTH_B,OTH_B,,
50,OVENCLN,Self-cleaning oven,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
51,TYPECLN,Continuous or manual cleaning cycle for most-used oven,"[1, 2, -2]","['Cleans continuously', 'Manually start the cleaning cycle', 'Not Applicable']",,,,,
52,MICRO,Microwave oven used,"[0, 1]","['No', 'Yes']",OTH_B,,,,
53,DEFROST,Microwave used for defrosting,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
54,OUTGRILL,Outdoor grill used,"[0, 1]","['No', 'Yes']",,OTH_B,,,
55,OUTGRILLFUEL,Fuel used by outdoor grill,"[1, 2, 21, -2]","['Natural Gas', 'Propane/LPG', 'Other Fuel', 'Not Applicable']",,OTH_B,,,
56,TOPGRILL,Built-in indoor grill used,"[0, 1]","['No', 'Yes']",,OTH_B,,,
57,STGRILA,Fuel used by built-in indoor grill,"[1, 2, 5, 21, -2]","['Natural Gas', 'Propane/LPG', 'Electricity', 'Other Fuel', 'Not Applicable']",,OTH_B,OTH_B,,
58,TOASTER,Toaster used,"[0, 1]","['No', 'Yes']",,,,,
59,NUMMEAL,Frequency hot meals are cooked,"[0, 1, 2, 3, 4, 5, 6]","['Ne ver cooks (if volunteered)', 'Three or more times a day', 'Two times a day', 'Once a day', 'A few times a week', 'About once a week', 'Less than once a week']",OTH_B,OTH_B,OTH_B,,
60,FUELFOOD,Most-used cooking fuel,"[1, 2, 5, 21, -2]","['Natural Gas', 'Propane/LPG', 'Electricity', 'Other Fuel', 'Not Applicable']",,,,,
61,COFFEE,Coffee maker used,"[0, 1]","['No', 'Yes']",OTH_B,,,,
62,TYPERFR1,Door arrangement of most-used refrigerator,"[1, 3, 4, 5, 21, 22, 23, -2]","['Full-size with one door', 'Half-size or compact', 'Other kind', 'Full-size with three or more doors', 'Full-size with two doors, freezer next to the refrigerator', 'Full-size with two doors, freezer above the refrigerator', 'Full-size with two doors, freezer below the refrigerator', 'Not Applicable']",,,,,
63,SIZRFRI1,Size of most-used refrigerator,"[1, 2, 3, 4, 5, -2]","['Half-size or compact', 'Small (14 cubic feet or less)', 'Medium (15 to 18 cubic feet)', 'Large (19 to 22 cubic feet)', 'Very Large (more than 22 cubic feet)', 'Not Applicable']",RFG_B,,,,
64,REFRIGT1,Defrosting type of most-used refrigerator,"[1, 2, 3, -2]","['Manual', 'Frost-free', 'No working freezer section (if volunteered)', 'Not Applicable']",,,,,
65,ICE,Through-the-door ice and water on most-used refrigerator,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",RFG_A,,,,
66,AGERFRI1,Age of most-used refrigerator,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
67,ESFRIG,Energy Star most-used refrigerator,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",RFG_A,,,,
68,REPLCFRI,Most-used refrigerator replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
69,HELPFRI,Assistance for replacing most-used refrigerator,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
70,HELPFRIY,Year of assistance for most-used refrigerator,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', '2010', 'Prior to 2006', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
71,TYPERFR2,Door arrangement of second most-used refrigerator,"[1, 3, 4, 5, 21, 22, 23, -2]","['Full-size with one door', 'Half-size or compact', 'Other kind', 'Full-size with three or more doors', 'Full-size with two doors, freezer next to the refrigerator', 'Full-size with two doors, freezer above the refrigerator', 'Full-size with two doors, freezer below the refrigerator', 'Not Applicable']",,,,,
72,SIZRFRI2,Size of second most-used refrigerator,"[1, 2, 3, 4, 5, -2]","['Half-size or compact', 'Small (14 cubic feet or less)', 'Medium (15 to 18 cubic feet)', 'Large (19 to 22 cubic feet)', 'Very Large (more than 22 cubic feet)', 'Not Applicable']",RFG_B,,,,
73,REFRIGT2,Defrosting type of second most-used refrigerator,"[1, 2, 3, -2]","['Manual', 'Frost-free', 'No working freezer section (if volunteered)', 'Not Applicable']",,,,,
74,AGERFRI2,Age of second most-used refrigerator,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
75,ESFRIG2,Energy Star second most-used refrigerator,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",RFG_A,,,,
76,TYPERFR3,Door arrangements of third most-used refrigerator,"[1, 3, 4, 5, 21, 22, 23, -2]","['Full-size with one door', 'Half-size or compact', 'Other kind', 'Full-size with three or more doors', 'Full-size with two doors, freezer next to the refrigerator', 'Full-size with two doors, freezer above the refrigerator', 'Full-size with two doors, freezer below the refrigerator', 'Not Applicable']",,,,,
77,SIZRFRI3,Size of third most-used refrigerator,"[1, 2, 3, 4, 5, -2]","['Half-size or compact', 'Small (14 cubic feet or less)', 'Medium (15 to 18 cubic feet)', 'Large (19 to 22 cubic feet)', 'Very Large (more than 22 cubic feet)', 'Not Applicable']",RFG_B,,,,
78,REFRIGT3,Defrosting type of third most-used refrigerator,"[1, 2, 3, -2]","['Manual', 'Frost-free', 'No working freezer section (if volunteered)', 'Not Applicable']",,,,,
79,AGERFRI3,Age of third most-used refrigerator,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
80,ESFRIG3,Energy Star third most-used refrigerator,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",RFG_A,,,,
81,SEPFREEZ,Separate freezer used,"[0, 1]","['No', 'Yes']",,,,,
82,NUMFREEZ,Number of separate freezers used,"[1, 2, 3, -2]","['One', 'Two', 'Three', 'Not Applicable']",OTH_B,,,,
83,UPRTFRZR,Type of most-used freezer,"[1, 2, -2]","['Upright', 'Chest', 'Not Applicable']",,,,,
84,SIZFREEZ,Size of most-used freezer,"[1, 2, 3, 4, -2]","['Small (14 cubic feet or less)', 'Medium (15 to 18 cubic feet)', 'Large (19 to 22 cubic feet)', 'Very Large (more than 22 cubic feet)', 'Not Applicable']",OTH_B,,,,
85,FREEZER,Defrosting type for most-used freezer,"[1, 2, -2]","['Manual', 'Frost-free', 'Not Applicable']",OTH_A,,,,
86,AGEFRZR,Age of most-used freezer,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
87,REPLCFRZ,Most-used freezer replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
88,HELPFRZ,Assistance for replacing most-used freezer,"[0, 1, 2, 3, 4, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
89,HELPFRZY,Year of assistance for most-used freezer,"[1, 2, 3, 4, 5, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
90,UPRTFRZR2,Type of second most-used freezer,"[1, 2, -2]","['Upright', 'Chest', 'Not Applicable']",,,,,
91,SIZFREEZ2,Size of second most-used freezer,"[1, 2, 3, 4, -2]","['Small (14 cubic feet or less)', 'Medium (15 to 18 cubic feet)', 'Large (19 to 22 cubic feet)', 'Very Large (more than 22 cubic feet)', 'Not Applicable']",OTH_B,,,,
92,FREEZER2,Defrosting type for second most-used freezer,"[1, 2, -2]","['Manual', 'Frost-free', 'Not Applicable']",OTH_A,,,,
93,AGEFRZR2,Age of second most-used freezer,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
94,DISHWASH,Dishwasher used,"[0, 1]","['No', 'Yes']",OTH_B,,WTH_B,,
95,DWASHUSE,Frequency dishwasher used,"[11, 12, 13, 20, 30, -2]","['Less than once a week', 'Once each week', '2 or 3 times a week', '4 to 6 times a week', 'At least once each day', 'Not Applicable']",OTH_B,WTH_B,WTH_B,,
96,AGEDW,Age of dishwasher,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
97,ESDISHW,Energy Star dishwasher,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
98,REPLCDW,Dishwasher replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
99,HELPDW,Assistance for replacing dishwasher,"[0, 1, 2, 3, 4, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
100,HELPDWY,Year of assistance for dishwasher,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', '2010', 'Prior to 2006', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
101,CWASHER,Clothes washer used in home,"[0, 1]","['No', 'Yes']",OTH_B,WTH_B,,,
102,TOPFRONT,Top or front loading clothes washer used in home,"[1, 2, -2]","['Top loading', 'Front loading', 'Not Applicable']",,,,,
103,WASHLOAD,Frequency clothes washer used,"[1, 2, 3, 4, 5, -2]","['1 load or less each week', '2 to 4 loads each week', '5 to 9 loads each week', '10 to 15 loads each week', 'More than 15 loads each week', 'Not Applicable']",OTH_A,OTH_A,,,
104,WASHTEMP,Water temperature used for clothes washer wash cycle,"[1, 2, 3, -2]","['Hot', 'Warm', 'Cold', 'Not Applicable']",,,,,
105,RNSETEMP,Water temperature used for clothes washer rinse cycle,"[1, 2, 3, -2]","['Hot', 'Warm', 'Cold', 'Not Applicable']",OTH_A,,,,
106,AGECWASH,Age of clothes washer,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
107,ESCWASH,Energy Star clothes washer,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
108,REPLCCW,Clothes washer replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
109,HELPCW,Assistance for replacing clothes washer,"[0, 1, 2, 3, 4, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
110,HELPCWY,Year of assistance for the clothes washer,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', '2010', 'Prior to 2006', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
111,DRYER,Clothes dryer used in home,"[0, 1]","['No', 'Yes']",OTH_B,,,,
112,DRYRFUEL,Fuel used by clothes dryer,"[1, 2, 5, -2]","['Natural Gas', 'Propane/LPG', 'Electricity', 'Not Applicable']",OTH_B,OTH_B,OTH_B,,
113,DRYRUSE,Frequency clothes dryer used,"[1, 2, 3, -2]","['Use it every time you wash clothes', 'Use it for some, but not all, loads of wash', 'Use it infrequently', 'Not Applicable']",,OTH_A,,,
114,AGECDRYER,Age of clothes dryer,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
115,TVSIZE1,Size of most-used TV,"[1, 2, 3, -2]","['20 inches or less', 'Between 21 and 26 inches', '37 inches or more', 'Not Applicable']",OTH_A,,,,
116,TVTYPE1,Display type of most-used TV,"[1, 2, 3, 4, 5, -2]","['Standard Tube', 'LCD', 'Plasma', 'Projection', 'LED', 'Not Applicable']",,,,,
117,CABLESAT1,Cable box or satellite box connected to the most-used TV,"[0, 1, 2, -2]","['Neither', 'Cable Box', 'Satellite Box', 'Not Applicable']",OTH_B,,,,
118,COMBODVR1,DVR built into the cable box or satellite box connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
119,DVR1,Separate DVR connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
120,DIGITSTB1,Digital converter box connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
121,PLAYSTA1,Video game console connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
122,COMBOVCRDVD1,Combo VCR/DVD connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
123,VCR1,VCR connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
124,DVD1,DVD player connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
125,TVAUDIOSYS1,Home theater system connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
126,OTHERSTB1,Other set-top box connected to the most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
127,TVSIZE2,Size of second most-used TV,"[1, 2, 3, -2]","['20 inches or less', 'Between 21 and 26 inches', '37 inches or more', 'Not Applicable']",OTH_A,,,,
128,TVTYPE2,Display type of second most-used TV,"[1, 2, 3, 4, 5, -2]","['Standard Tube', 'LCD', 'Plasma', 'Projection', 'LED', 'Not Applicable']",,,,,
129,CABLESAT2,Cable box or satellite box connected to the second most-used TV,"[0, 1, 2, -2]","['Neither', 'Cable Box', 'Satellite Box', 'Not Applicable']",OTH_B,,,,
130,COMBODVR2,DVR built into the cable box or satellite box connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
131,DVR2,Separate DVR connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
132,DIGITSTB2,Digital converter box connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
133,PLAYSTA2,Video game console connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
134,COMBOVCRDVD2,Combo VCR/DVD connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
135,VCR2,VCR connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
136,DVD2,DVD player connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
137,TVAUDIOSYS2,Home theater system connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
138,OTHERSTB2,Other set-top box connected to the second most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
139,TVSIZE3,Size of third most-used TV size,"[1, 2, 3, -2]","['20 inches or less', 'Between 21 and 26 inches', '37 inches or more', 'Not Applicable']",OTH_A,,,,
140,TVTYPE3,Display type of third most-used TV,"[1, 2, 3, 4, 5, -2]","['Standard Tube', 'LCD', 'Plasma', 'Projection', 'LED', 'Not Applicable']",,,,,
141,CABLESAT3,Cable box or satellite box connected to the third most-used TV,"[0, 1, 2, -2]","['Neither', 'Cable Box', 'Satellite Box', 'Not Applicable']",OTH_B,,,,
142,COMBODVR3,DVR built into the cable box or satellite box connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
143,DVR3,Separate DVR connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
144,DIGITSTB3,Digital converter box connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
145,PLAYSTA3,Video game console connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
146,COMBOVCRDVD3,Combo VCR/DVD connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
147,VCR3,VCR connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
148,DVD3,DVD player connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
149,TVAUDIOSYS3,Home theater system connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
150,OTHERSTB3,Other set-top box connected to the third most-used TV,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
151,COMPUTER,Computer used at home,"[0, 1]","['No', 'Yes']",,,,,
152,PCTYPE1,Most-used computer - desktop or laptop,"[1, 2, -2]","['Desktop', 'Laptop', 'Not Applicable']",OTH_B,,,,
153,MONITOR1,Monitor type of most-used computer,"[0, 1, -2]","['Standard Monitor', 'Flat-Panel LCD Monitor', 'Not Applicable']",,,,,
154,PCONOFF1,Turn off most-used computer when not in use,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_A,,,,
155,PCSLEEP1,Sleep or standby mode for most-used computer when not in use,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
